Sun Oct 25 17:00:01 PDT 2020 | Mon Oct 26 00:00:01 UTC 2020 | Every 3 hours #3
Sat Oct 31 08:00:01 PDT 2020 | Sat Oct 31 15:00:01 UTC 2020 | Every 3 hours #3
Sat Oct 31 11:00:01 PDT 2020 | Sat Oct 31 18:00:01 UTC 2020 | Every 3 hours #3
Sat Oct 31 14:00:01 PDT 2020 | Sat Oct 31 21:00:01 UTC 2020 | Every 3 hours #3
Sat Oct 31 17:00:01 PDT 2020 | Sun Nov  1 00:00:01 UTC 2020 | Every 3 hours #3
Sat Oct 31 20:00:01 PDT 2020 | Sun Nov  1 03:00:01 UTC 2020 | Every 3 hours #3
Sat Oct 31 23:00:01 PDT 2020 | Sun Nov  1 06:00:01 UTC 2020 | Every 3 hours #3
Sun Nov  1 02:00:01 PST 2020 | Sun Nov  1 10:00:01 UTC 2020 | Every 3 hours #3
Sun Nov  1 05:00:01 PST 2020 | Sun Nov  1 13:00:01 UTC 2020 | Every 3 hours #3
Sun Nov  1 08:00:01 PST 2020 | Sun Nov  1 16:00:01 UTC 2020 | Every 3 hours #3
Sun Nov  1 11:00:01 PST 2020 | Sun Nov  1 19:00:01 UTC 2020 | Every 3 hours #3
Sun Nov  1 14:00:01 PST 2020 | Sun Nov  1 22:00:01 UTC 2020 | Every 3 hours #3
